asr-baseline-01e6yv61wtdevpf6t5rr91ttx0,bb5a5dd0-bb1d-4a17-a4bb-f6657be8fbf0,2020-04-27T22:12:43Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:12:18Z,2020-04-27T22:12:12Z,2020-04-27T22:12:12Z,2020-04-27T22:12:43Z,True,False,False,True,2020-04-27T22:12:19Z,2020-04-27T22:12:19Z,2020-04-27T22:12:17Z,2020-04-27T22:12:16Z,2020-04-27T22:12:12Z,
asr-baseline-01e6yv62289aqcyrq2bpa28k9r,063dd117-f95b-4c66-8c2d-4c319736f020,2020-04-27T22:12:49Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:12:58Z,2020-04-27T22:12:35Z,2020-04-27T22:12:35Z,2020-04-27T22:12:49Z,True,False,False,True,2020-04-27T22:13:11Z,2020-04-27T22:13:11Z,2020-04-27T22:12:48Z,2020-04-27T22:12:46Z,2020-04-27T22:12:35Z,
asr-baseline-01e6yv624ddbdbpm7xh4h6df5r,f429ea8c-beda-47d7-8a5c-004e61aab0fc,2020-04-27T22:12:52Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:08Z,2020-04-27T22:12:39Z,2020-04-27T22:12:39Z,2020-04-27T22:12:52Z,True,False,False,True,2020-04-27T22:13:23Z,2020-04-27T22:13:23Z,2020-04-27T22:12:57Z,2020-04-27T22:12:56Z,2020-04-27T22:12:39Z,
asr-baseline-01e6yv625gvqjk62r5ywc1cqxr,0cfa6479-3932-4ffe-9f37-a147bdcd067e,2020-04-27T22:12:44Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:12:54Z,2020-04-27T22:12:44Z,2020-04-27T22:12:44Z,2020-04-27T22:12:44Z,True,False,False,True,2020-04-27T22:12:55Z,2020-04-27T22:12:55Z,2020-04-27T22:12:53Z,2020-04-27T22:12:53Z,2020-04-27T22:12:44Z,
asr-baseline-01e6yv626vyz8j0504hjyxh661,7a3671f5-1192-4c9a-9403-3b5503a544ec,2020-04-27T22:12:54Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:01Z,2020-04-27T22:12:54Z,2020-04-27T22:12:54Z,2020-04-27T22:12:54Z,True,False,False,True,2020-04-27T22:13:04Z,2020-04-27T22:13:04Z,2020-04-27T22:13:00Z,2020-04-27T22:12:57Z,2020-04-27T22:12:54Z,
asr-baseline-01e6yv627k3qeev9f192vfk4an,b4f08179-a897-446f-9515-e5af6c92234b,2020-04-27T22:12:46Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:12:20Z,2020-04-27T22:12:16Z,2020-04-27T22:12:16Z,2020-04-27T22:12:46Z,True,False,False,True,2020-04-27T22:12:22Z,2020-04-27T22:12:22Z,2020-04-27T22:12:19Z,2020-04-27T22:12:19Z,2020-04-27T22:12:16Z,
asr-baseline-01e6yv62eec5gtq3n530zah1kc,7d3df743-4be9-4699-9d77-aae2a3258242,2020-04-27T22:12:57Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:34Z,2020-04-27T22:12:58Z,2020-04-27T22:12:58Z,2020-04-27T22:12:57Z,True,False,False,True,2020-04-27T22:13:57Z,2020-04-27T22:13:57Z,2020-04-27T22:13:27Z,2020-04-27T22:13:23Z,2020-04-27T22:12:58Z,
asr-baseline-01e6yv62h42amxp11427d3y52r,c2a1a192-de28-4c29-9ee8-9ea510422cba,2020-04-27T22:12:57Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:10Z,2020-04-27T22:12:57Z,2020-04-27T22:12:57Z,2020-04-27T22:12:57Z,True,False,False,True,2020-04-27T22:13:12Z,2020-04-27T22:13:12Z,2020-04-27T22:13:06Z,2020-04-27T22:13:06Z,2020-04-27T22:12:57Z,
asr-baseline-01e6yv62nw72z6wrq3p4yrfmj2,27e8b909-bfb2-4213-854b-0284a99d6636,2020-04-27T22:12:51Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:25Z,2020-04-27T22:12:51Z,2020-04-27T22:12:51Z,2020-04-27T22:12:51Z,True,False,False,True,2020-04-27T22:13:39Z,2020-04-27T22:13:39Z,2020-04-27T22:13:15Z,2020-04-27T22:13:14Z,2020-04-27T22:12:51Z,
asr-baseline-01e6yv62trcb1mnmneaapjhfvr,b1cde4e9-4f54-4bb1-a725-a42016b56cc1,2020-04-27T22:12:51Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:02Z,2020-04-27T22:12:37Z,2020-04-27T22:12:37Z,2020-04-27T22:12:51Z,True,False,False,True,2020-04-27T22:13:11Z,2020-04-27T22:13:11Z,2020-04-27T22:12:56Z,2020-04-27T22:12:55Z,2020-04-27T22:12:37Z,
asr-baseline-01e6yv62w3z7xw3tzb0wq2xzm3,9a206f11-316a-4a61-a357-118b8cfc1972,2020-04-27T22:13:05Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:13Z,2020-04-27T22:13:05Z,2020-04-27T22:13:05Z,2020-04-27T22:13:05Z,True,False,False,True,2020-04-27T22:13:16Z,2020-04-27T22:13:16Z,2020-04-27T22:13:12Z,2020-04-27T22:13:11Z,2020-04-27T22:13:05Z,
asr-baseline-01e6yv62z0fshe2kamwb35pev4,a55a5465-50e1-420b-bd85-15ec74c4dac2,2020-04-27T22:12:52Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:12:25Z,2020-04-27T22:12:22Z,2020-04-27T22:12:22Z,2020-04-27T22:12:52Z,True,False,False,True,2020-04-27T22:12:26Z,2020-04-27T22:12:26Z,2020-04-27T22:12:25Z,2020-04-27T22:12:24Z,2020-04-27T22:12:22Z,
asr-baseline-01e6yv635afzkt52jy7tzw6st6,38d8124c-09f9-480d-b383-af12c66e0e88,2020-04-27T22:12:56Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:23Z,2020-04-27T22:12:43Z,2020-04-27T22:12:43Z,2020-04-27T22:12:56Z,True,False,False,True,2020-04-27T22:13:47Z,2020-04-27T22:13:47Z,2020-04-27T22:13:09Z,2020-04-27T22:13:07Z,2020-04-27T22:12:43Z,
asr-baseline-01e6yv63fnev6qm66619pdhf5n,5cd98b1c-87b3-4bb0-abaf-64c89bcce8ba,2020-04-27T22:13:12Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:13:33Z,2020-04-27T22:13:12Z,2020-04-27T22:13:12Z,2020-04-27T22:13:12Z,True,False,False,True,2020-04-27T22:13:38Z,2020-04-27T22:13:38Z,2020-04-27T22:13:26Z,2020-04-27T22:13:26Z,2020-04-27T22:13:12Z,
asr-baseline-01e6yv63mm6gmbdcmj1z4r96wp,ef0d065a-90bd-4c52-bc88-e06bc4aefc5d,2020-04-27T22:13:28Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:16:43Z,2020-04-27T22:13:19Z,2020-04-27T22:13:19Z,2020-04-27T22:13:28Z,True,False,False,True,2020-04-27T22:17:40Z,2020-04-27T22:17:41Z,2020-04-27T22:14:09Z,2020-04-27T22:14:08Z,2020-04-27T22:13:19Z,
asr-baseline-01e6yv63qw6m5y80qs88zhtf8n,5cf962d2-c716-4dad-8e5e-b30c0cd4c5c3,2020-04-27T22:12:58Z,Initialized,Ready,ContainersReady,PodScheduled,2020-04-27T22:12:32Z,2020-04-27T22:12:36Z,2020-04-27T22:12:36Z,2020-04-27T22:12:58Z,True,False,False,True,2020-04-27T22:12:34Z,2020-04-27T22:12:34Z,2020-04-27T22:12:32Z,2020-04-27T22:12:30Z,2020-04-27T22:12:27Z,
